取得日,コード,銘柄名,市場,現在値,前日比(%),PBR(株価純資産倍率)(倍),PER(株価収益率)(倍),ROE(自己資本利益率)(%),海外売上高比率(%),経常利益変化率(%) - 前年度比,自己資本比率(%),財務,配当利回り(%),EPS(予)(一株あたり当期利益)(円),PEG(予)(倍),業績予想修正率(予)(%),経常利益変化率(予)(%) - 1年前,過去3年平均売上高成長率(予)(%)
2026-08-20,4373,シンプレクス・ＨＬＤＧ,東P,"1,183",+58.0 (+5.16%) ,5.14,25.48,21.0,0.00,33.77,58.35,(連),1.52,56.72,0.94,1.48,14.06,22.01
2026-08-20,4374,ＲＯＢＯＴ ＰＡＹＭＥＮＴ,東G,"2,469",+66.0 (+2.75%) ,7.05,16.83,45.0,0.00,64.38,14.96,(単),1.13,,,,,
2026-08-20,4375,セーフィー,東G,670,+53.0 (+8.59%) ,4.1,85.03,5.0,0.00,80.90,75.04,(連),0.00,3.60,-3.43,-61.39,-60.00,23.89
2026-08-20,4376,くふうカンパニーＨＬＤＧ,東G,160,-1.0 (-0.62%) ,,,,,,,,,,,,,
2026-08-20,4377,ワンキャリア,東G,"2,498",+115.0 (+4.83%) ,,,,,,,,,119.60,0.48,4.24,1.63,38.31
2026-08-20,4378,ＣＩＮＣ,東G,502,+1.0 (+0.20%) ,,,,,,,,,,,,,
2026-08-20,4379,Ｐｈｏｔｏｓｙｎｔｈ,東G,437,+12.0 (+2.82%) ,2.81,23.20,12.9,0.00,157.14,61.94,(連),0.00,,,,,
2026-08-20,437A,ジェイウェイブ,東PRO,--,-- (--%) ,,,,,,,,,,,,,
2026-08-20,4380,Ｍマート,東G,675,+14.0 (+2.12%) ,3.09,15.60,21.4,0.00,25.54,68.9,(単),1.85,,,,,
2026-08-20,4381,ビープラッツ,東G,357,+13.0 (+3.78%) ,,,,,,,,,,,,,
2026-08-20,4382,ＨＥＲＯＺ,東S,755,+16.0 (+2.17%) ,2.27,30.51,7.9,0.00,78.95,58.67,(連),0.00,,,,,
2026-08-20,4385,メルカリ,東P,"4,795",+45.0 (+0.95%) ,,,,,,,,,219.91,9.07,1.01,38.43,16.70
2026-08-20,4386,ＳＩＧグループ,東S,906,+17.0 (+1.91%) ,1.85,10.72,18.3,0.00,18.99,46.62,(連),3.20,,,,,
2026-08-20,4387,ＺＵＵ,東G,497,+2.0 (+0.40%) ,,,,,,,,,,,,,
2026-08-20,4388,エーアイ,東S,370,+8.0 (+2.21%) ,,,,,,,,,,,,,
